Cancer type,Datasets,Omics,Origin,Year,Country,PMID,Journal,Data banks/repositories,Accession numbers/web links
LUAD,Caso_2020,WXS,h,2020,USA,32791233,Journal of Thoracic Oncology,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Caso_2021,WXS,h,2021,USA,34290393,Npj Precision Oncology,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Rizvi_2015,WXS,h,2015,USA,25765070,Science,Article/cBioPortal,supplementary; https://www.cbioportal.org/datasets
LUAD,Chen_2020,WXS,h,2020,China,32649875,Cell,Article,supplementary
LUAD,Chen-NG_2020,WXS,h,2020,Singapore,32015526,Nature Genetics,cBioPortal/OncoSG,https://www.cbioportal.org/datasets; https://src.gisapps.org/OncoSG_public/datasets
LUAD,Ding_2008,WXS,h,2008,USA,18948947,Nature,cBioPortal/Article,https://www.cbioportal.org/datasets
LUSC,Satpathy_2021,WXS,h,2021,USA,34358469,Cell,cBioPortal/Article,https://www.cbioportal.org/datasets; supplementary
LUAD,Um_2016,WXS,h,2016,Korea,27634761,Cancer Research,cBioPortal/Article,"https://www.cbioportal.org/datasets; table1,2"
LUSC,Um_2016,WXS,h,2016,Korea,27634761,Cancer Research,cBioPortal/Article,"https://www.cbioportal.org/datasets; table1,2"
LUAD,Jee_2022,WXS,h,2022,USA,36357680,Nature Medicine,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Jee_2022,WXS,h,2022,USA,36357680,Nature Medicine,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Hellmann_2018,WXS,h,2018,USA,29657128,Cancer Cell,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Rizvi_2018,WXS,h,2018,USA,29337640,Journal of Clinical Oncology,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Rizvi_2018,WXS,h,2018,USA,29337640,Journal of Clinical Oncology,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Abbosh_2017,WXS,h,2017,UK,28445469,Nature,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Abbosh_2017,WXS,h,2017,UK,28445469,Nature,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Skakodub_2023,WXS,h,2023,USA,37591896,Nature Communications,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Skakodub_2023,WXS,h,2023,USA,37591896,Nature Communications,cBioPortal,https://www.cbioportal.org/datasets
SCLC,George_2015,WXS,h,2015,Germany,26168399,Nature,Article,supplementary
SCLC,Gardner_2017,WXS,m,2017,USA,28196596,Cancer Cell,cBioPortal,https://www.cbioportal.org/datasets
SCLC,Liu_2024,WXS,h,2024,China,38181741,Cell,Article,supplementary
LUAD,Zehir_2017,WXS,h,2017,USA,28481359,Nature Medicine,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Zehir_2017,WXS,h,2017,USA,28481359,Nature Medicine,cBioPortal,https://www.cbioportal.org/datasets
SCLC,Zehir_2017,WXS,h,2017,USA,28481359,Nature Medicine,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Nguyen_2022,WXS,h,2022,USA,35120664,Cell,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Nguyen_2022,WXS,h,2022,USA,35120664,Cell,cBioPortal,https://www.cbioportal.org/datasets
SCLC,Nguyen_2022,WXS,h,2022,USA,35120664,Cell,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Wu_2022,WXS,h,2022,China,35871175,Nature Communications,cBioPortal,https://www.cbioportal.org/datasets
LUSC,Wu_2022,WXS,h,2022,China,35871175,Nature Communications,cBioPortal,https://www.cbioportal.org/datasets
SCLC,Wu_2022,WXS,h,2022,China,35871175,Nature Communications,cBioPortal,https://www.cbioportal.org/datasets
LUAD,Roper_2020,WXS,h,2020,USA,32483558,Cell Reports Medicine,Article,supplementary
LUAD,Zhang-NC_2019,WXS,h,2019,China,30992440,Nature Communications,Article,supplementary
LUSC,Zhang-NC_2019,WXS,h,2019,China,30992440,Nature Communications,Article,supplementary
LUAD,Dolgalev_2023,WXS,h,2023,USA,37938580,Nature Communications,Article,supplementary
LUAD,Deng_2024,WXS,h,2024,China,38554705,Cell Reports Medicine,Article,supplementary
LUAD,TCGA_2023,Methylome,h,2023,USA,25079552,Nature,R tools/XENA,TCGAbiolinks;XENA
LUSC,TCGA_2023,Methylome,h,2023,USA,22960745,Nature,R tools/XENA,TCGAbiolinks;XENA
LUAD,Gillette_2020,Methylome,h,2020,USA,32649874,Cell,Article,supplementary
LUSC,Satpathy_2021,Methylome,h,2021,USA,34358469,Cell,Article,supplementary
LUAD,Alvaro_2021,Methylome,h,2021,USA,34656143,Journal of Hematology & Oncology,GEO,GSE226069
LUSC,Alvaro_2021,Methylome,h,2021,USA,34656143,Journal of Hematology & Oncology,GEO,GSE226069
LUAD,Zhang-train_2023,Methylome,h,2023,China,37709764,Nature Communications,GEO,GSE230193
LUSC,Zhang-train_2023,Methylome,h,2023,China,37709764,Nature Communications,GEO,GSE230193
LUAD,Zhang-valid_2023,Methylome,h,2023,China,37709764,Nature Communications,GEO,GSE230193
LUAD,Hu_2021,Methylome,h,2021,USA,33514726,Nature Communications,Article,supplementary
SCLC,CCLE_2019,Methylome,cells,2019,USA,31068700,Nature,Depmap CCLE 2019,https://depmap.org/portal/download/all/
LUAD,CCLE_2019,Methylome,cells,2019,USA,31068700,Nature,Depmap CCLE 2019,https://depmap.org/portal/download/all/
LUSC,CCLE_2019,Methylome,cells,2019,USA,31068700,Nature,Depmap CCLE 2019,https://depmap.org/portal/download/all/
SCLC,Krushkal_2020,Methylome,cells,2020,USA,32586373,Clinical Epigenetics,GEO,GSE145156
SCLC,Heeke_2024,Methylome,cells,2024,USA,38278149,Cancer Cell,GEO,GSE241673
LUAD,Walter_2012,Methylome,cells,2012,USA,22261801,Clinical Cancer Research,GEO,GSE36216
SCLC,Mohammad_2015,Methylome,"h,m,cells",2015,USA,26175415,Cancer Cell,GEO,GSE66295
LUAD,Lehtio_2021,Methylome,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUSC,Lehtio_2021,Methylome,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUAD,Sandoval_2013,Methylome,h,2013,Spain,24081945,Journal of Clinical Oncology,GEO,GSE39279
LUSC,Sandoval_2013,Methylome,h,2013,Spain,24081945,Journal of Clinical Oncology,GEO,GSE39279
LUAD,Wang_2017,Methylome,m,2017,Canada,27750381,International Journal of Cancer,Article,supplementary
LUSC,Wang_2017,Methylome,m,2017,Canada,27750381,International Journal of Cancer,Article,supplementary
LUAD,Haga_2023,Methylome,h,2023,Japan,38102134,Nature Communications,DBKERO,https://kero.hgc.jp/Early_cancer.html
LUAD,Pocha_2020,Methylome,h,2020,Germany,31953311,Clinical Cancer Research,ArrayExpress,E-MTAB-8660
LUSC,Teixeira_2019,Methylome,h,2019,UK,30664780,Nature Medicine,GEO,GSE108124
LUAD,Cho_2020,Methylome,h,2020,Korea,32879421,Experimental And Molecular Medicine,GEO,GSE126044
LUSC,Cho_2020,Methylome,h,2020,Korea,32879421,Experimental And Molecular Medicine,GEO,GSE126044
LUSC,Cho_2022,Methylome,h,2022,Korea,34987166,Experimental And Molecular Medicine,GEO,GSE158422
LUAD,Dolgalev_2023,scRNA-seq,h,2023,USA,37938580,Nature Communications,Figshare,https://doi.org/10.6084/m9.figshare.21331284
LUAD,Kim_2020,scRNA-seq,h,2020,Korea,32385277,Nature Communications,GEO,GSE131907
LUAD,Qian_2020,scRNA-seq,h,2020,Belgium,32561858,Cell Research,3CA,https://www.weizmann.ac.il/sites/3CA/lung
LUSC,Qian_2020,scRNA-seq,h,2020,Belgium,32561858,Cell Research,3CA,https://www.weizmann.ac.il/sites/3CA/lung
LUAD,Maynard_2020,scRNA-seq,h,2020,USA,32822576,Cell,3CA,https://www.weizmann.ac.il/sites/3CA/lung
LUSC,Maynard_2020,scRNA-seq,h,2020,USA,32822576,Cell,3CA,https://www.weizmann.ac.il/sites/3CA/lung
