Cancer type,Datasets,Omics,Origin,Year,Country,PMID,Journal,Data banks/repositories,Accession numbers/web links
SCLC,Rudin_2012,RNA-seq,h,2012,USA,22941189,Nature Genetics,EGA,EGAS00001000334
SCLC,Rudin-cells_2012,RNA-seq,cells,2012,USA,22941189,Nature Genetics,EGA,EGAS00001000334
SCLC,Stewart_2020,RNA-seq,m,2020,USA,33521652,Nature Cancer,GEO,GSE138418
LUAD,Alvaro-CD_2021,RNA-seq,h,2021,USA,34155000,Cancer Discovery,Article,supplementary
SCLC,Alvaro-CD_2021,RNA-seq,h,2021,USA,34155000,Cancer Discovery,Article,supplementary
SCLC,Lissa_2022,RNA-seq,h,2022,USA,35440132,Nature Communications,Article,supplementary
SCLC,Lissa-mouse_2022,RNA-seq,"h,m",2022,USA,35440132,Nature Communications,Article,supplementary
SCLC,Peifer_2012,RNA-seq,h,2012,Germany,22941188,Nature Genetics,Article,supplementary
LUAD,Li_2014,Array,"h,m",2014,Canada,25429762,Nature Communications,Article,supplementary
LUSC,Li_2014,Array,"h,m",2014,Canada,25429762,Nature Communications,Article,supplementary
LUAD,Cho_2020,RNA-seq,h,2020,Korea,32879421,Experimental And Molecular Medicine,GEO,GSE126044
LUSC,Cho_2020,RNA-seq,h,2020,Korea,32879421,Experimental And Molecular Medicine,GEO,GSE126044
LUAD,Lee_2021,RNA-seq,h,2021,USA,33857424,Cell,GEO,GSE166449
LUSC,Cho_2022,RNA-seq,h,2022,Korea,34987166,Experimental And Molecular Medicine,GEO,GSE158420
LUAD,Roper_2020,RNA-seq,h,2020,USA,32483558,Cell Reports Medicine,Article,supplementary
LUSC,Limagne_2022,RNA-seq,h,2022,France,35051357,Cancer Cell,GEO,GSE190265
LUAD,Hwang_2020,RNA-seq,h,2020,Korea,31959763,Scientific Reports,GEO,GSE136961
LUSC,Hwang_2020,RNA-seq,h,2020,Korea,31959763,Scientific Reports,GEO,GSE136961
LUAD,Wang_2019,RNA-seq,h,2019,China,31209061,Cancer Research,LungCancer,http://lungcancer.chenlulab.com
LUSC,Wang_2019,RNA-seq,h,2019,China,31209061,Cancer Research,LungCancer,http://lungcancer.chenlulab.com
LUAD,Haga_2023,RNA-seq,h,2023,Japan,38102134,Nature Communications,DBKERO,https://kero.hgc.jp/Early_cancer.html
LUAD,TRACERx_2023,RNA-seq,h,2023,UK,37046093,Nature,Zenodo,https://zenodo.org/records/7603386
LUSC,TRACERx_2023,RNA-seq,h,2023,UK,37046093,Nature,Zenodo,https://zenodo.org/records/7603386
LUAD,Pleasance_2020,RNA-seq,h,2020,Canada,35121966,Nature Cancer,POG570,http://bcgsc.ca/downloads/POG570/
LUAD,Zhang-NC_2019,RNA-seq,h,2019,China,30992440,Nature Communications,Figshare,https://doi.org/10.6084/m9.figshare.7306364.v1
LUSC,Zhang-NC_2019,RNA-seq,h,2019,China,30992440,Nature Communications,Figshare,https://doi.org/10.6084/m9.figshare.7306364.v1
LUAD,Gillette_2020,Proteomics,h,2020,USA,32649874,Cell,Article,supplementary
LUAD,Xu_2020,Proteomics,h,2020,China,32649877,Cell,Article,supplementary
LUAD,Lehtio_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUSC,Lehtio_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUAD,Lehtio-val_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUSC,Lehtio-val_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUAD,Lehtio-late_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUSC,Lehtio-late_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
SCLC,Lehtio-late_2021,Proteomics,h,2021,Sweden,34870237,Nature Cancer,Article,supplementary
LUAD,Chen_2020,Proteomics,h,2020,China,32649875,Cell,Article,supplementary
LUAD,Mirhadi_2022,Proteomics,m,2022,Canada,35383171,Nature Communications,Article,supplementary
LUSC,Mirhadi_2022,Proteomics,m,2022,Canada,35383171,Nature Communications,Article,supplementary
LUSC,Stewart_2019,Proteomics,h,2019,USA,31395880,Nature Communications,Article,supplementary
LUSC,Satpathy_2021,Proteomics,h,2021,USA,34358469,Cell,Article,supplementary
SCLC,Liu_2024,Proteomics,h,2024,China,38181741,Cell,Article,supplementary
SCLC,Liu-mouse_2024,Proteomics,m,2024,China,38181741,Cell,Article,supplementary
LUSC,Casanova_2017,Proteomics,h,2017,Switzerland,28364001,Cancer Research,Article,supplementary
SCLC,Mahoney_2019,Proteomics,cells,2019,USA,30626880,Nature Communications,Article,supplementary
LUAD,CCLE_2020,Proteomics,cells,2019,USA,31978347,Cell,CCLE,https://www.cell.com/cell/fulltext/S0092-8674(19)31385-6 (https://gygi.hms.harvard.edu/publications/ccle.html)
LUSC,CCLE_2020,Proteomics,cells,2019,USA,31978347,Cell,CCLE,https://www.cell.com/cell/fulltext/S0092-8674(19)31385-6 (https://gygi.hms.harvard.edu/publications/ccle.html)
SCLC,CCLE_2020,Proteomics,cells,2019,USA,31978347,Cell,CCLE,https://www.cell.com/cell/fulltext/S0092-8674(19)31385-6 (https://gygi.hms.harvard.edu/publications/ccle.html)
LUAD,Woldmar_2023,Proteomics,h,2023,Austria,36527824,Esmo Open,Article,supplementary
LUAD,Kuras_2020,Proteomics,h,2020,Sweden,33301673,Journal of Proteome Research,Article,supplementary
LUAD,Su_2021,Proteomics,h,2021,China,34870900,Proteomics Clinical Applications,Article,supplementary
LUSC,Pan_2020,Proteomics,h,2020,China,32612956,Frontiers in Oncology,Article,supplementary
LUAD,Culemann_2015,Proteomics,cells,2015,Germany,26361996,Journal of Proteomics,Article,supplementary
LUAD,Li_2014,Proteomics,"h,m",2014,Canada,25429762,Nature Communications,Article,supplementary
LUSC,Li_2014,Proteomics,"h,m",2014,Canada,25429762,Nature Communications,Article,supplementary
LUAD,Balbin_2013,Proteomics,cells,2013,USA,24135919,Nature Communications,Article,supplementary
LUAD,Kelemen_2020,Proteomics,h,2020,Sweden,32536039,Clinical And Translational Medicine,Article,supplementary
LUAD,Chen_2019,WXS,h,2019,USA,31784532,Nature Communications,Article,supplementary
LUAD,TCGA_2023,WXS,h,2023,USA,25079552,Nature,GDC/R tools/XENA,https://gdc.cancer.gov/about-data/publications/mc3-2017; TCGAbiolinks; XENA
LUSC,TCGA_2023,WXS,h,2023,USA,22960745,Nature,GDC/R tools/XENA,https://gdc.cancer.gov/about-data/publications/mc3-2017; TCGAbiolinks; XENA
LUAD,Caushi_2021,WXS,h,2021,USA,34290408,Nature,Article,supplementary
